Participant,Age,Religion,Motivation_subscale,Average_rating
117,28,Christian,Community,2.333333333
117,28,Christian,Rel_growth,4.333333333
117,28,Christian,Spirit_growth,5.4
117,28,Christian,Seek_life,4.75
119,40,Atheist,Nature_close,6
119,40,Atheist,Sen_seek,3.166666667
119,40,Atheist,Community,2.666666667
119,40,Atheist,Rel_growth,1.666666667
119,40,Atheist,Spirit_growth,5.4
119,40,Atheist,Seek_life,2.25
120,49,Christian,Nature_close,5
120,49,Christian,Sen_seek,4.833333333
120,49,Christian,Community,2
120,49,Christian,Rel_growth,2.833333333
120,49,Christian,Spirit_growth,3.6
120,49,Christian,Seek_life,1
121,34,Christian,Nature_close,1
121,34,Christian,Sen_seek,4.833333333
121,34,Christian,Community,2
121,34,Christian,Rel_growth,3.833333333
121,34,Christian,Spirit_growth,2.4
121,34,Christian,Seek_life,1.25
123,37,Christian,Nature_close,6
123,37,Christian,Sen_seek,4.833333333
123,37,Christian,Community,6
123,37,Christian,Rel_growth,5
123,37,Christian,Spirit_growth,5.7494
123,37,Christian,Seek_life,4.5
124,28,Christian,Nature_close,6
124,28,Christian,Sen_seek,6
124,28,Christian,Community,6
124,28,Christian,Rel_growth,6
124,28,Christian,Spirit_growth,5.7494
124,28,Christian,Seek_life,5.5
125,46,Christian,Nature_close,6
125,46,Christian,Sen_seek,5.5
125,46,Christian,Community,5.666666667
125,46,Christian,Rel_growth,4
125,46,Christian,Spirit_growth,5.2
125,46,Christian,Seek_life,5
126,58,Christian,Nature_close,5
126,58,Christian,Sen_seek,5.5
126,58,Christian,Community,6
126,58,Christian,Rel_growth,5
126,58,Christian,Spirit_growth,5.4
126,58,Christian,Seek_life,3
127,21,Christian,Nature_close,4.333333333
127,21,Christian,Sen_seek,4.666666667
127,21,Christian,Community,2
127,21,Christian,Rel_growth,3
127,21,Christian,Spirit_growth,3
127,21,Christian,Seek_life,2.75
128,49,Christian,Nature_close,3.333333333
128,49,Christian,Sen_seek,2
128,49,Christian,Community,1
128,49,Christian,Rel_growth,1
