Participant,Age,Religion,Nature_close,Sen_seek,Community,Rel_growth,Spirit_growth,Seek_life
367,46,Christian,3.333333333,1.5,3.666666667,1.666666667,5.4,2.25
368,39,Atheist,4,4.5,3,1,2.4,1.5
369,28,Atheist,4.666666667,3.666666667,1,1.666666667,3,3.5
370,39,Christian,4.333333333,2,2.666666667,5.166666667,5,6
371,48,Christian,4.666666667,4.333333333,2.333333333,4.833333333,4.8,4.25
372,60,Christian,3,2,3.666666667,3.833333333,3.6,2.25
373,19,Christian,3.666666667,5.666666667,1.666666667,1.166666667,4.2,3
374,19,Christian,4.333333333,3.166666667,1,1,3.6,1
375,33,Christian,4.666666667,3.166666667,2.333333333,4.833333333,5.8,5.5
376,36,Christian,1.666666667,3.166666667,3.333333333,2.666666667,1.4,1.75
377,43,Christian,5.333333333,3.5,3,4,5,2.75
378,63,Christian,4.333333333,5.166666667,5.333333333,5.5,5.4,4.5
379,56,Christian,6,6,4.333333333,5.833333333,5,4.75
380,46,Christian,3.666666667,2,2.666666667,3.833333333,4.2,4.5
381,27,Christian,5.333333333,4.666666667,2,4.166666667,4.4,2
382,28,Christian,5,2.5,3.666666667,5.5,6,3.75
383,22,Christian,5,5.666666667,1.666666667,5.666666667,5.8,5.5
384,59,Christian,5.666666667,4.833333333,3,6,4.4,6
385,39,Christian,5.666666667,3.5,1.333333333,4.5,3.4,2.25
